facultad,total_tesis
Facultad de Administración y Contabilidad,6
Facultad de Arquitectura y Urbanismo,262
Facultad de Arte y Diseño,126
Facultad de Artes Escénicas,206
Facultad de Ciencias Contables,15
Facultad de Ciencias e Ingeniería,3409
Facultad de Ciencias Sociales,953
Facultad de Ciencias y Artes de la Comunicación,361
Facultad de Derecho,1141
Facultad de Educación,426
Facultad de Gestión y Alta Dirección,906
Facultad de Letras y Ciencias Humanas,1011
Facultad de Psicología,410
