facultad,total_tesis
Facultad de Arquitectura Urbanismo y Artes,689
Facultad  de Ciencias,584
Facultad de Ingeniería Ambiental,1491
Facultad de Ingenieria Civil,5147
Facultad de Ingeniería de Petróleo y Petroquímica,1114
Facultad de Ingeniería Económica y Ciencias Sociales,885
Facultad de Ingeniería Eléctrica y Electrónica,2752
Facultad de Ingeniería Geológica Minera y Metalúrgica,2018
Facultad de Ingeniería Industrial y de Sistemas,2558
Facultad  de Ingenieria Mecanica,4988
Facultad  de Ingenieria Quimica y Textil,1291
