facultad,total_tesis
Facultad de Bromatología y Nutrición,232
Facultad de Ciencias,63
Facultad de Ciencias Económicas Contables y Financieras,545
Facultad de Ciencias Empresariales,555
Facultad de Ciencias Sociales,557
Facultad de Derecho y Ciencias Políticas,524
Facultad de Educación,1357
Facultad de Ingeniería Agraria Industrias Alimentarias y Ambiental,487
Facultad de Ingeniería Civil,246
Facultad de Ingeniería Industrial Sistemas e Informática,396
Facultad de Ingeniería Pesquera,57
Facultad de Ingeniería Química y Metalúrgica,330
Facultad de Medicina Humana,553
