facultad,total_tesis
Facultad de Ciencias Biológicas,733
Facultad de Ciencias Físicas,906
Facultad de Ciencias Matemáticas,457
Facultad de Química e Ingeniería Química,177
Facultad de Farmacia y Bioquímica,630
Facultad de Medicina,2732
Facultad de Medicina Veterinaria,687
Facultad de Odontología,657
Facultad de Psicología,125
Facultad de Ciencias Administrativas,75
Facultad de Ciencias Contables,29
Facultad de Ciencias Económicas,37
Facultad de Ciencias Sociales,356
Facultad de Derecho y Ciencia Política,166
Facultad de Educación,78
Facultad de Letras y Ciencias Humanas,1125
Facultad de Ingeniería de Sistemas e Informática,710
Facultad de Ingeniería Electrónica y Eléctrica,149
Facultad de Ingeniería Geológica Minera Metalúrgica y Geográfica,252
Facultad de Ingeniería Industrial,567
