facultad,total_tesis
Facultad de Arquitectura e Ing Civil,375
Facultad de Ciencias,356
"Facultad de Ciencias Administrativas, Contables, Económicas y Turismo",801
Facultad de Ciencias Agrarias,651
Facultad de Ciencias de la Salud,1003
Facultad de Derecho y Ciencias Sociales,468
Facultad de Educación y Ciencias de la Comunicación,670
Facultad de Ingeniería de Procesos,121
"Facultad de Ingeniería Eléctrica, Electrónica, Informática y Mecánica",392
"Facultad de Ingeniería Geológica, Minas y Metalúrgica",494
